"Photon energy, eV","n"
1.1785569147633053,1.5717375192919
1.1853172794751405,1.5718376704839
1.1921556483951896,1.5719395975265
1.1990733794303647,1.5720433428801
1.2072462262229768,1.5721667357013
1.2143407192272255,1.5722745725719
1.2215190880108346,1.5723843709055
1.2287828288711569,1.5724961788304
1.2361334739092695,1.5726100459686
1.2440717181727845,1.5727338316459
1.2517333410711733,1.5728541085749
1.2596178749679947,1.5729787113032
1.2674727809558344,1.573103680427
1.2755574838796266,1.5732331766677
1.2836130803716712,1.5733630867956
1.291905672950919,1.5734977378152
1.3001697507665657,1.5736328545737
1.3086783558486352,1.5737729394217
1.3171591143429269,1.5739135466451
1.3258922835322393,1.5740593636361
1.334598357729814,1.5742057648952
1.3435651000552635,1.5743576332372
1.352505589975998,1.5745101535199
1.361715402889618,1.5746684151073
1.3708999052753175,1.5748274026701
1.3803628082064097,1.5749924240597
1.3899572582186066,1.5751610001827
1.3995280215949848,1.5753304270614
1.4093916952722485,1.5755063656145
1.419232914756178,1.5756832479003
1.4293773049700222,1.5758669872783
1.4395006087669768,1.5760517723498
1.4499378719810516,1.5762437843245
1.4603555645830355,1.5764369538933
1.4710985694482643,1.5766377467338
1.4818236815238401,1.5768398200806
1.4928860618073414,1.5770499420214
1.5039324045742324,1.5772614795962
1.5153286168797324,1.5774815226994
1.5267108414370116,1.5777031301335
1.5384562282305463,1.5779337345968
1.5501898903863431,1.5781660671827
1.5623007489049863,1.5784079261541
1.5744023801028535,1.5786516938567
1.5868960377972574,1.5789055588248
1.5993832228212037,1.579161531897
1.612278120066316,1.5794282187388
1.625169582292564,1.5796972340288
1.6384853631967715,1.5799776298077
1.651801058261387,1.580260597856
1.6655586705145047,1.5805556684805
1.6795473778528816,1.5808585296454
1.6935416942098036,1.5811643803937
1.7080064393594119,1.5814835369982
1.7224810702014408,1.5818059992026
1.7374465727732582,1.5821426550723
1.7524266774996426,1.5824829679277
1.76791939873235,1.5828384414179
1.7834319251021247,1.5831979632139
1.799480223992739,1.583573700686
1.8155540698945631,1.5839539229677
1.8321883764312061,1.5843515141725
1.848854569536232,1.5847540779281
1.8661075772591769,1.5851752736153
1.8833994749065732,1.5856019878316
1.9013063553611365,1.5860487199634
1.9192598673854444,1.5865015829577
1.9378585094263787,1.5869759879835
1.9565123470585404,1.5874572120031
1.975843624431868,1.5879616577404
1.995239578904083,1.5884736974208
2.0153476500828953,1.5890108142055
2.0355309051567843,1.5895563996035
2.0564635500597066,1.5901291165102
2.077483033396443,1.5907112915821
2.0992920323924773,1.5913228786928
2.1215637822227875,1.5919554199091
2.143942373043398,1.5925991642024
2.1671768472836863,1.593276247483
2.1905333468745534,1.5939658969383
2.214794344999995,1.5946918831777
2.239194282700013,1.5954319922665
2.2645513686410905,1.5962117992651
2.2900662621555172,1.5970075122853
2.3165954303643446,1.5978467038482
2.3433034857890704,1.5987038506888
2.3710879218416467,1.599608743092
2.3990748342318056,1.6005339539551
2.428205785998819,1.6015117438225
2.4575656577423137,1.6025125873863
2.488143436345569,1.6035715061225
2.518979834073541,1.6046566568759
2.5511149677592533,1.605806158261
2.5835421428026613,1.6069856003913
2.6173567116972705,1.6082365898759
2.6515010143947757,1.6095218672929
2.687130200110527,1.6108869841321
2.723131724864918,1.6122915091857
2.7607256164128193,1.6137854760669
2.798740122643334,1.615324913557
2.838465829512356,1.6169649731974
