"Photon energy, eV","n"
1.144821675282546,1.4814607914262
1.1522693999358709,1.4815180213019
1.1598146626108485,1.481575975247
1.1663611235475044,1.4816262484469
1.1740926840255654,1.4816856250036
1.1819274302488056,1.4817458108574
1.1898674417763888,1.4818068372909
1.196758565956561,1.4818598390073
1.2048997806909594,1.4819225123455
1.21315251891487,1.4819861203197
1.2215190880108346,1.4820506976303
1.2300018594553543,1.4821162799799
1.2373671400508954,1.4821733211839
1.2463227526447498,1.482242814478
1.254900682521252,1.4823095286381
1.2634687397645952,1.4823763258001
1.2722851455423263,1.4824452373273
1.2812254565784822,1.4825153134007
1.2902923033936904,1.4825865943343
1.299488391500888,1.4826591217525
1.308816504096904,1.4827329386548
1.3181393518296802,1.4828069744406
1.3277381391422116,1.4828834845139
1.3374777500873756,1.4829614212947
1.3473613065974757,1.4830408339616
1.3573920235723638,1.483121773438
1.3675732123659796,1.4832042924779
1.3777551664973853,1.4832871960991
1.3882452965300607,1.4833730150208
1.3988963943709773,1.4834605828017
1.40971219366799,1.4835499604411
1.4206965444379478,1.4836412112723
1.4318534176359823,1.4837344010809
1.4430189412604715,1.4838281833912
1.454530589313699,1.4839254278585
1.4662273821322105,1.484024823551
1.4781138225214558,1.4841264473418
1.490194560493987,1.4842303792563
1.5024743993347032,1.484336702637
1.5147732123775164,1.4844438859117
1.5274631937057992,1.4845552179645
1.5403675914163215,1.4846692118161
1.5534918861433367,1.4847859658906
1.566841746911408,1.484905582922
1.5804230393001877,1.4850281701926
1.5940368659436834,1.4851519688178
1.6080958162529144,1.485280789964
1.6224049651020638,1.4854129312597
1.6369710514008413,1.4855485207977
1.651801058261387,1.485687692658
1.6666781480454322,1.485828458198
1.6820538248962111,1.4859751646501
1.6977158350417598,1.4861258928749
1.7136722520124354,1.4862808045231
1.7299314557429848,1.4864400692282
1.7465021472474958,1.4866038650953
1.7631425971714976,1.4867698659618
1.7803588086315294,1.4869432212593
1.7979145509440213,1.4871216951764
1.815819968264495,1.487305505177
1.8340856129156762,1.4874948802221
1.8527224661252197,1.4876900615199
1.8714594329524485,1.4878882987202
1.890867583240807,1.4880957741599
1.9106825001248222,1.488309857092
1.9309171068852158,1.4885308462197
1.9515848801054576,1.4887590572135
1.9726998796038142,1.488994823899
1.9939560539256949,1.4892348570129
2.0160030476926782,1.4894866910993
2.0385430357300183,1.4897471987123
2.0615927408230745,1.4900167999468
2.0851696507416704,1.4902959406623
2.109292062488937,1.4905850944309
2.133611898693852,1.4908802790307
2.158874933538215,1.491190834719
2.184743390891625,1.4915130040449
2.2112392978972664,1.4918473941605
2.2383857633706397,1.4921946526763
2.2662070450210146,1.4925554709922
2.2943039865488473,1.4929249642159
2.3235417434988705,1.4933149422653
2.3535343096640036,1.4937208426449
2.3843112967903792,1.4941435714605
2.415903886069753,1.4945841009501
2.448344933513028,1.4950434754648
2.4811724521332743,1.4955156185918
2.515402463645764,1.4960158179215
2.550590154970165,1.496538478199
2.5867762869413666,1.497085004795
2.6240039668380892,1.497656916579
2.662318819692929,1.4982558573267
2.7011805540980327,1.4988741590812
2.741799810550635,1.4995321873662
2.783659349643011,1.5002230293009
2.826816858939802,1.5009489704492
2.8713336598679877,1.5017125033668
2.9172749984258757,1.5025163510791
2.9640016120750587,1.5033507068647
3.0129814686050964,1.5042437025881
3.063607300051883,1.5051867964397
